epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1900.09,0.86638,0.50749,1.03126,0.95529,0.98817,0.98274,0.72888,0.95073,0.48009,0.9534,0.0011882,0.0011882,0.0011882
43,1944.5,0.8564,0.49376,1.03087,0.95388,0.97917,0.98487,0.76043,0.86626,0.44369,0.93808,0.0011684,0.0011684,0.0011684
44,1989.86,0.86139,0.50351,1.03264,0.96121,0.9783,0.98427,0.75066,0.9071,0.45777,0.95359,0.0011486,0.0011486,0.0011486
45,2035.3,0.84972,0.4975,1.02649,0.96078,0.98225,0.98648,0.78823,0.79779,0.43545,0.92693,0.0011288,0.0011288,0.0011288
46,2080.76,0.84901,0.49539,1.02403,0.96318,0.98028,0.98402,0.76408,0.84784,0.4365,0.9394,0.001109,0.001109,0.001109
47,2126.75,0.8395,0.48572,1.01588,0.96306,0.97688,0.98424,0.76955,0.84762,0.42165,0.93228,0.0010892,0.0010892,0.0010892
48,2172.35,0.85123,0.49311,1.02673,0.9668,0.97632,0.98531,0.76932,0.85769,0.42833,0.94182,0.0010694,0.0010694,0.0010694
49,2217.12,0.85659,0.50253,1.02527,0.96188,0.98422,0.98698,0.7263,0.99758,0.46122,0.96415,0.0010496,0.0010496,0.0010496
50,2262.48,0.83614,0.47353,1.01689,0.96126,0.97882,0.98426,0.69559,1.07862,0.46173,0.98747,0.0010298,0.0010298,0.0010298
51,2307.16,0.84074,0.47368,1.02426,0.95063,0.98754,0.98393,0.7646,0.82948,0.43267,0.93246,0.00101,0.00101,0.00101
52,2351.91,0.84508,0.46903,1.02597,0.9613,0.97992,0.98379,0.74963,0.90561,0.4317,0.9437,0.0009902,0.0009902,0.0009902
53,2397.5,0.825,0.46884,1.01966,0.96328,0.9783,0.98429,0.75183,0.90796,0.43292,0.94242,0.0009704,0.0009704,0.0009704
54,2442.76,0.82801,0.46562,1.0303,0.96342,0.98695,0.98263,0.75093,0.91567,0.43121,0.94774,0.0009506,0.0009506,0.0009506
55,2487.53,0.82265,0.4633,1.01773,0.95017,0.98225,0.98215,0.7503,0.88975,0.44078,0.92956,0.0009308,0.0009308,0.0009308
56,2533.27,0.80719,0.4606,1.01089,0.96838,0.97633,0.98573,0.74101,0.93947,0.42935,0.93846,0.000911,0.000911,0.000911
57,2577.96,0.81321,0.47746,1.0103,0.96512,0.98232,0.98539,0.74933,0.90475,0.43111,0.93704,0.0008912,0.0008912,0.0008912
58,2622.44,0.82473,0.46066,1.01477,0.9695,0.97633,0.98639,0.75456,0.91585,0.4266,0.94488,0.0008714,0.0008714,0.0008714
59,2668.09,0.81358,0.45464,1.00686,0.96534,0.98028,0.98524,0.78946,0.7906,0.40159,0.91873,0.0008516,0.0008516,0.0008516
60,2713.5,0.81614,0.45195,1.00549,0.96705,0.98406,0.98361,0.78842,0.79527,0.40179,0.9171,0.0008318,0.0008318,0.0008318
61,2758.63,0.79959,0.44717,1.00775,0.95792,0.98619,0.98522,0.77503,0.84705,0.40302,0.92313,0.000812,0.000812,0.000812
62,2805.42,0.79937,0.45621,1.00835,0.96523,0.98225,0.98372,0.78533,0.80713,0.39978,0.92314,0.0007922,0.0007922,0.0007922
63,2850.29,0.80446,0.45617,1.01449,0.96492,0.97663,0.98429,0.78652,0.79267,0.40071,0.90932,0.0007724,0.0007724,0.0007724
64,2895.5,0.8009,0.44786,1.00958,0.95421,0.98649,0.98699,0.7677,0.85478,0.41481,0.92263,0.0007526,0.0007526,0.0007526
65,2941.68,0.79514,0.44492,1.00107,0.96475,0.98817,0.98637,0.80446,0.74922,0.39064,0.90502,0.0007328,0.0007328,0.0007328
66,2986.91,0.80245,0.4349,0.99847,0.96596,0.98817,0.98471,0.77356,0.84459,0.4014,0.9153,0.000713,0.000713,0.000713
67,3032.67,0.78375,0.42728,0.99594,0.96896,0.98503,0.9862,0.81198,0.72855,0.36632,0.89142,0.0006932,0.0006932,0.0006932
68,3078.65,0.78541,0.43411,0.99726,0.96341,0.98028,0.98383,0.81047,0.72413,0.37404,0.89935,0.0006734,0.0006734,0.0006734
69,3124.06,0.77989,0.42722,1.00219,0.96734,0.99211,0.98464,0.78203,0.83218,0.39084,0.92063,0.0006536,0.0006536,0.0006536
70,3173.42,0.76934,0.4308,0.99054,0.96339,0.98619,0.9864,0.80321,0.75737,0.38524,0.91234,0.0006338,0.0006338,0.0006338
71,3218.19,0.76076,0.41918,0.9949,0.96439,0.98225,0.98617,0.79392,0.7867,0.38622,0.91158,0.000614,0.000614,0.000614
72,3263.59,0.77934,0.42874,0.99921,0.96382,0.98225,0.98572,0.79555,0.79352,0.38771,0.91288,0.0005942,0.0005942,0.0005942
73,3309.39,0.75814,0.41252,0.99819,0.96231,0.98619,0.98745,0.78376,0.83058,0.37326,0.91681,0.0005744,0.0005744,0.0005744
74,3355.18,0.75061,0.41042,0.98534,0.96169,0.99024,0.98744,0.77446,0.8515,0.3862,0.91859,0.0005546,0.0005546,0.0005546
75,3400.83,0.76105,0.41641,0.99058,0.96509,0.98139,0.98585,0.79418,0.77127,0.37806,0.90227,0.0005348,0.0005348,0.0005348
76,3446.46,0.74954,0.4118,0.98722,0.96347,0.98828,0.98813,0.82097,0.69299,0.35224,0.88625,0.000515,0.000515,0.000515
77,3491.55,0.73365,0.4036,0.97647,0.96927,0.97436,0.98678,0.80253,0.76181,0.36875,0.90327,0.0004952,0.0004952,0.0004952
78,3536.58,0.74196,0.40457,0.97684,0.95984,0.98987,0.98705,0.80121,0.74936,0.37208,0.89623,0.0004754,0.0004754,0.0004754
79,3580.89,0.7315,0.39572,0.97824,0.96142,0.98422,0.98502,0.77974,0.84417,0.39391,0.91593,0.0004556,0.0004556,0.0004556
80,3625.72,0.74593,0.4052,0.97747,0.96504,0.98225,0.98312,0.81249,0.70487,0.35688,0.88424,0.0004358,0.0004358,0.0004358
81,3670.95,0.72863,0.39263,0.9723,0.96807,0.98619,0.98552,0.82577,0.68706,0.34217,0.88211,0.000416,0.000416,0.000416
82,3716.86,0.73401,0.39591,0.96904,0.958,0.98965,0.98488,0.81071,0.75565,0.36044,0.89269,0.0003962,0.0003962,0.0003962
83,3761.14,0.7308,0.39148,0.97388,0.96437,0.99211,0.98611,0.80754,0.74768,0.35139,0.89336,0.0003764,0.0003764,0.0003764
84,3806.43,0.72577,0.38425,0.97815,0.97072,0.98078,0.98532,0.80254,0.77061,0.35544,0.90345,0.0003566,0.0003566,0.0003566
85,3851.37,0.72888,0.39091,0.97496,0.96531,0.988,0.98539,0.81905,0.70181,0.33982,0.8855,0.0003368,0.0003368,0.0003368
86,3895.86,0.72223,0.3832,0.97133,0.96616,0.98225,0.98544,0.81315,0.72228,0.35384,0.8904,0.000317,0.000317,0.000317
87,3940.92,0.71421,0.38538,0.96661,0.97063,0.98422,0.98501,0.81174,0.73277,0.35239,0.89006,0.0002972,0.0002972,0.0002972
88,3986.6,0.70725,0.3872,0.96793,0.97262,0.98098,0.98459,0.81085,0.73505,0.35052,0.89318,0.0002774,0.0002774,0.0002774
89,4031.1,0.70566,0.37437,0.96372,0.96638,0.98619,0.98517,0.82118,0.69074,0.34047,0.88869,0.0002576,0.0002576,0.0002576
90,4075.8,0.70447,0.37354,0.96726,0.97308,0.97633,0.98518,0.82932,0.67847,0.33696,0.87993,0.0002378,0.0002378,0.0002378
91,4122.63,0.66062,0.31992,0.91774,0.97082,0.98422,0.98594,0.79586,0.77931,0.35543,0.90293,0.000218,0.000218,0.000218
92,4166.34,0.62908,0.30634,0.91186,0.97302,0.97436,0.98668,0.82165,0.71178,0.33415,0.88965,0.0001982,0.0001982,0.0001982
93,4209.78,0.6394,0.30117,0.91372,0.96688,0.99014,0.98687,0.82885,0.67668,0.32935,0.88599,0.0001784,0.0001784,0.0001784
94,4252.88,0.62922,0.30251,0.91229,0.97102,0.99132,0.98701,0.79122,0.80552,0.34234,0.90964,0.0001586,0.0001586,0.0001586
95,4296.35,0.61245,0.29173,0.90325,0.96958,0.99014,0.98733,0.82447,0.70011,0.32605,0.88738,0.0001388,0.0001388,0.0001388
96,4339.93,0.62312,0.2924,0.9091,0.9686,0.99211,0.98734,0.82515,0.6925,0.31838,0.88355,0.000119,0.000119,0.000119
97,4383.16,0.61558,0.28965,0.90171,0.96694,0.99211,0.98727,0.8266,0.68394,0.3182,0.88309,9.92e-05,9.92e-05,9.92e-05
98,4426.55,0.60831,0.28887,0.90183,0.97102,0.99148,0.98743,0.81623,0.71968,0.3256,0.88951,7.94e-05,7.94e-05,7.94e-05
99,4469.83,0.61666,0.29516,0.90218,0.96923,0.98817,0.98699,0.82378,0.69041,0.31586,0.88378,5.96e-05,5.96e-05,5.96e-05
100,4513.5,0.61139,0.28892,0.90354,0.96727,0.99105,0.98707,0.82962,0.66738,0.31009,0.87984,3.98e-05,3.98e-05,3.98e-05
